SpocWebEntityId	name	Description	PrincipleSubId
22338	Personal-Computer	Replace Mainframe Computer by Personal Computers.	22240
22339	Trailer	Replace a large Truck by a Truck and Trailer.	22240
22340	Work-Breakdown	Use a Work Breakdown Structure for a large Project.	22240
22341	Modular-Furniture	Modular Furniture.	22241
22342	disconnect Joints	Quick disconnect Joints in Plumbing.	22241
22343	connect Joints	Garden Hoses can be joined together to form any Length.	22241
22344	Venetian Blinds	Replace solid Shades with Venetian Blinds.	22242
22345	Welding Powder	Use powdered Welding Metal instead of Foil or Rod to get better Penetration of the Joint.	22242
22346	modular Design	Replace monolithic Architectures with modular Design.	22242
22347	Foldable Ruler		22242
22348	outside noise	Locate a noisy Compressor outside the Building where compressed Air is needed.	22243
22349	Fiber Optics	Use Fiber Optics or a Light Pipe to separate the hot Light Source from the Location where Light is needed.	22243
22350	Sound only	Use the Sound of a barking Dog, without the Dog, as a Burglar Alarm.	22243
22351	Enemy substitute	Use the Sound, Shape, Smell etc. of an Enemy, without the Enemy itself, to repel Agents.	22243
22352	Gradient	Use a Temperature, Density, or Pressure Gradient instead of constant Temperature, Density or Pressure.	22244
22353	Compartments	Lunch Box with special Compartments for hot and cold solid Foods and for Liquids	22245
22354	Pencil with Eraser	Pencil with Eraser in one Unit	22246
22355	Hammer with Nail Puller		22246
22356	Multi-Tool	Multi-Function Tool that scales Fish, acts as a Pliers, a Wire Stripper, a Flat-Blade Screwdriver, a Phillips Screwdriver, Manicure Set, etc.	22246
22357	Asymmetric-mixing	Asymmetrical Mixing Vessels or asymmetrical Vanes in symmetrical Vessels improve Mixing (Cement Trucks, Cake Mixers, Blenders).	22247
22358	flat Spot	Put a flat Spot on a cylindrical Shaft to attach a Knob securely.	22247
22359	Asymmetric-tire	Make one Side of a Tire stronger than the other to withstand Impact with the Curb.	22247
22360	break-symmetry	While discharging wet Sand through a symmetrical Funnel, the Sand forms an Arch above the Opening, causing irregular Flow. A Funnel of asymmetrical Shape eliminates the Arching Effect.	22247
22361	change-shape	Change from circular O-rings to oval cross-section to specialized shapes to improve sealing.	22248
22362	astigmatic optics	Use astigmatic optics to merge colors.	22248
22363	computer network	Personal computers in a network	22249
22364	parallel processor	Thousands of microprocessors in a parallel processor computer	22249
22365	Vanes	Vanes in a ventilation system	22249
22366	both-sides	Electronic chips mounted on both sides of a circuit board or subassembly	22249
22367	Linked slats	Link slats together in Venetian or vertical blinds.	22250
22368	multiple diagnostic	Medical diagnostic instruments that analyze multiple blood parameters simultaneously	22250
22369	Mulching lawnmower		22250
22370	Tool-reservoir	Handle of a toothbrush contains toothpaste	22251
22371	Convertible Seat	Child's car safety seat converts to a stroller	22251
22372	Mulching Universality	Mulching lawnmower (Yes, it demonstrates both Principles 5 and 6, Merging and Universality.)	22251
22373	recorder and timekeeper	Team leader acts as recorder and timekeeper.	22251
22374	CCD	CCD (Charge coupled device) with micro-lenses formed on the surface	22251
22375	Convertible	Convertible Bed-Sofa or Car	22251
22376	Multi-Function-Seat	Minivan Seat for seating, sleeping, carrying Cargo	22251
22377	Cup-Measure	Measuring in Cups or Spoons	22252
22378	Russian Dolls		22252
22379	Portable System	Portable Audio System (microphone fits inside Transmitter, which fits inside Amplifier Case)	22252
22380	Pencil 	Mechanical Pencil with Lead stored inside.	22252
22381	Extending Antenna	Extending Radio Telescope Antenna	22253
22382	Extending Pointer		22253
22383	Zoom Lens		22253
22384	Seat Belt	Retraction Mechanism	22253
22385	Retractable Gear	Retractable Aircraft Landing Gear Stow inside the Fuselage (also demonstrates Principle 15, Dynamism).	22253
22386	Stackable	Chairs or Connectors that stack onto each other for Storage or Operation.	22253
22387	Add Foam	Inject foaming Agent into a Bundle of Logs, to make it float better.	22254
22388	Use Balloon	Use Helium Balloon to support Advertising Signs.	22254
22389	Wing Shape	Aircraft Wing Shape reduces Air Density above the Wing, increases Density below Wing, to create Lift. (This also demonstrates Principle 4, Asymmetry).	22255
22390	Vortex Strips	Vortex Strips improve Lift of Aircraft Wings.	22255
22391	Hydrofoils	Hydrofoils lift Ship out of the Water to reduce Drag.	22255
22392	Rear Wing	Rear Wing of a Racing Car increases Pressure to the Ground.	22255
22393	Buffer Solution	Buffer a Solution to prevent harm from Extremes of pH.	22256
22394	Pre-stress	Pre-stress Rebar before pouring Concrete.	22257
22395	Mask-Harm	Masking Anything before harmful Exposure: Use a Lead Apron on Parts of the Body not being exposed to X-rays. Use Masking Tape to protect the Part of an object not being Painted	22257
22396	twisted Pipes	Reinforced Shaft made from several Pipes which have been previously twisted.	22257
22397	Pre-pasted	Pre-pasted Wall Paper	22258
22398	Sterilize	Sterilize all Instruments needed for a surgical Procedure on a Sealed Tray.	22258
